$ipProto,Description
0,IPv6 Hop-by-Hop Option
1,ICMP
2,IGMP - Internet Group Management
3,GGP - Gateway-to-Gateway
4,IP in IP encapsulation
5,Stream
6,TCP
7,CBT 
8,Exterior Gateway Protocol
9,Any private interior gateway protocol - used by Cisco for their IGRP
10,BBN RCC Monitoring
11,Network Voice Protocol
12,PUP
13,ARGUS
14,EMCON
15,Cross Net Debugger
16,Chaos
17,UDP
18,Multiplexing
19,DCN Measurement Subsystems
20,Host Monitoring
21,Packet Radio Measurement
22,XEROX NS IDP
23,Trunk-1
24,Trunk-2
25,Leaf-1
26,Leaf-2
27,Reliable Data Protocol
28,Internet Reliable Transaction
29,ISO Transport Protocol Class 4
30,Bulk Data Transfer Protocol
31,MFE Network Services Protocol
32,MERIT Internodal Protocol
33,Datagram Congestion Control Protocol
34,Third Party Connect Protocol
35,Inter-Domain Policy Routing Protocol
36,XTP
37,Datagram Delivery Protocol
38,IDPR Control Message Transport Proto
39,TP++ Transport Protocol
40,IL Transport Protocol
41,IPv6 Hop-by-Hop Option
42,Source Demand Routing Protocol
43,Routing Header for IPv6
44,Fragment Header for IPv6
45,Inter-Domain Routing Protocol
46,Reservation Protocol
47,General Routing Encapsulation
48,Dynamic Source Routing Protocol
49,BNA
50,Encap Security Payload
51,Authentication Header
52,Integrated Net Layer Security  TUBA
53,IP with Encryption
54,NBMA Address Resolution Protocol
55,IP Mobility
56,Transport Layer Security Protocol using Kryptonet key management
57,SKIP
58,ICMP for IPv6
59,No Next Header for IPv6
60,Destination Options for IPv6
62,CFTP 
64,SATNET and Backroom EXPAK
65,Kryptolan 
66,MIT Remote Virtual Disk Protocol
67,Internet Pluribus Packet Core
68,Any distributed file system
69,SATNET Monitoring 
70,VISA
71,Internet Packet Core Utility
72,Computer Protocol Network Executive
73,Computer Protocol Heart Beat
74,Wang Span Network
75,Packet Video Protocol
76,Backroom SATNET Monitoring
77,SUN ND PROTOCOL-Temporary
78,WIDEBAND Monitoring
79,WIDEBAND EXPAK
80,ISO Internet Protocol
81,VMTP
82,SECURE-VMTP 
83,VINES
84,TTP
85,NSFNET-IGP
86,Dissimilar Gateway Protocol
87,TCF
88,EIGRP
89,OSPFIGP
90,Sprite RPC Protocol
91,Locus Address Resolution Protocol
92,Multicast Transport Protocol
93,AX.25 Frames
94,IP-within-IP Encapsulation Protocol
95,Mobile Internetworking Control Protocol
96,Semaphore Communications Sec. Protocol
97,Ethernet-within-IP Encapsulation
98,Encapsulation Header
99,Any private encryption scheme
100,GMTP
101,Ipsilon Flow Management Protocol
102,PNNI over IP
103,Protocol Independent Multicast
104,ARIS
105,SCPS
106,QNX
107,Active Networks
108,IP Payload Compression Protocol
109,Sitara Networks Protocol
110,Compaq Peer Protocol
111,IPX in IP
112,Virtual Router Redundancy Protocol
113,PGM Reliable Transport Protocol
114,any 0-hop protocol
115,Layer Two Tunneling Protocol
116,D-II Data Exchange (DDX)
117,Interactive Agent Transfer Protocol
118,Schedule Transfer Protocol
119,SpectraLink Radio Protocol
120,UTI
121,Simple Message Protocol
122,SM
123,Performance Transparency Protocol
124,ISIS over IPv4
125,FIRE
126,Combat Radio Transport Protocol
127,Combat Radio User Datagram
128,SSCOPMCE
129,IPLT
130,Secure Packet Shield
131,Private IP Encapsulation within IP
132,Stream Control Transmission Protocol
133,Fibre Channel
134,RSVP-E2E-IGNORE
135,Mobility Header
136,UDPLite
137,MPLS-in-IP
138,MANET Protocols
139,Host Identity Protocol
